2009.08.09,0:00,1.08262,1.10745,1.07925,1.09806,208739
2009.08.16,0:00,1.09936,1.11238,1.07623,1.081,214238
2009.08.23,0:00,1.07918,1.10189,1.07184,1.0916,187852
2009.08.30,0:00,1.09167,1.1101,1.0823,1.0885,153319
2009.09.06,0:00,1.0862,1.0878,1.0673,1.0766,76108
2009.09.13,0:00,1.077,1.0925,1.059,1.069,40477
2009.09.20,0:00,1.0701,1.0981,1.0659,1.0909,43671
2009.09.27,0:00,1.0914,1.0991,1.067,1.0796,45603
2009.10.04,0:00,1.0808,1.0822,1.041,1.042,44730
2009.10.11,0:00,1.0426,1.0451,1.0205,1.0368,39891
2009.10.18,0:00,1.0392,1.0582,1.0265,1.0536,42694
2009.10.25,0:00,1.0507,1.08462,1.05,1.0845,82149
2009.11.01,0:00,1.08464,1.08516,1.05935,1.07519,219098
2009.11.08,0:00,1.07322,1.07465,1.04164,1.05161,198745
2009.11.15,0:00,1.05326,1.07305,1.04259,1.07043,216294
2009.11.22,0:00,1.07062,1.07483,1.04491,1.06169,194952
2009.11.29,0:00,1.0601,1.06113,1.04054,1.05783,207049
2009.12.06,0:00,1.05587,1.06701,1.04777,1.05994,228932
2009.12.13,0:00,1.06057,1.07449,1.05523,1.06629,206461
2009.12.20,0:00,1.06781,1.06974,1.04475,1.04963,125866
2009.12.27,0:00,1.048,1.05764,1.03649,1.04698,114089
2010.01.03,0:00,1.04687,1.05165,1.0291,1.02972,188038
2010.01.10,0:00,1.03092,1.0413,1.02237,1.02897,197532
2010.01.17,0:00,1.0297,1.06012,1.02474,1.0577,228581
2010.01.24,0:00,1.05637,1.07044,1.05319,1.0703,224515
2010.01.31,0:00,1.06887,1.07791,1.05452,1.07144,205786
2010.02.07,0:00,1.07019,1.07721,1.04791,1.05024,254039
2010.02.14,0:00,1.05147,1.05319,1.03873,1.03906,219934
2010.02.21,0:00,1.0388,1.06792,1.03693,1.05156,231076
2010.02.28,0:00,1.05191,1.05723,1.02599,1.02878,210988
2010.03.07,0:00,1.02756,1.03203,1.01542,1.01915,151764
2010.03.14,0:00,1.01715,1.02311,1.00608,1.01714,159227
2010.03.21,0:00,1.01631,1.0302,1.01473,1.02646,156406
2010.03.28,0:00,1.0254,1.02715,1.0066,1.01095,135902
2010.04.04,0:00,1.0084,1.01038,0.99766,1.00255,133220
2010.04.11,0:00,1.00451,1.01615,0.99524,1.01273,147974
2010.04.18,0:00,1.01515,1.02146,0.99299,0.99888,166842
2010.04.25,0:00,0.99965,1.01962,0.99703,1.01775,175877
2010.05.02,0:00,1.01613,1.07347,1.01,1.04381,227610
2010.05.09,0:00,1.03161,1.03918,1.01095,1.03549,213906
2010.05.16,0:00,1.03507,1.07481,1.02455,1.05932,261105
2010.05.23,0:00,1.06223,1.08516,1.04435,1.05448,229453
2010.05.30,0:00,1.05184,1.06264,1.03328,1.06264,226231
2010.06.06,0:00,1.0606,1.06781,1.02865,1.03203,255845
2010.06.13,0:00,1.03421,1.03591,1.02062,1.0217,208488
2010.06.20,0:00,1.01959,1.04684,1.0138,1.03518,164203
2010.06.27,0:00,1.03523,1.0673,1.03196,1.06223,194482
2010.07.04,0:00,1.06259,1.06756,1.0295,1.03361,142339
2010.07.11,0:00,1.03223,1.05809,1.02755,1.05806,192799
2010.07.18,0:00,1.05718,1.05852,1.03454,1.03572,161601
2010.07.25,0:00,1.03779,1.03943,1.0255,1.02945,147566
2010.08.01,0:00,1.02853,1.03048,1.01067,1.02718,130434
2010.08.08,0:00,1.02696,1.04934,1.02557,1.0417,150468
2010.08.15,0:00,1.04139,1.05132,1.02469,1.04729,151982
2010.08.22,0:00,1.04927,1.06661,1.04444,1.05065,168216
2010.08.29,0:00,1.0497,1.06716,1.03801,1.03863,144517
2010.09.05,0:00,1.03918,1.0508,1.0286,1.03683,127583
2010.09.12,0:00,1.034,1.03494,1.02154,1.0328,154026
2010.09.19,0:00,1.0328,1.03778,1.019,1.02434,138898
2010.09.26,0:00,1.02421,1.03607,1.01868,1.01953,176238
2010.10.03,0:00,1.0195,1.02717,1.00618,1.0112,176855
2010.10.10,0:00,1.0105,1.0182,0.99793,1.01018,146897
2010.10.17,0:00,1.01175,1.03716,1.01164,1.02573,191763
2010.10.24,0:00,1.0256,1.03385,1.01534,1.01922,233060
2010.10.31,0:00,1.0183,1.02017,0.99907,1.00004,260625
2010.11.07,0:00,1.00031,1.01446,0.9977,1.01214,277552
2010.11.14,0:00,1.01206,1.02598,1.00562,1.0167,283463
2010.11.21,0:00,1.01622,1.02631,1.00758,1.02116,247033
2010.11.28,0:00,1.01857,1.02854,1.00021,1.00377,311465
2010.12.05,0:00,1.00335,1.01396,1.0011,1.00896,260984
2010.12.12,0:00,1.00977,1.01452,1.00005,1.01386,249272
2010.12.19,0:00,1.01231,1.02074,1.00493,1.00816,200465
2010.12.26,0:00,1.00824,1.01095,0.99247,0.99708,165192
2011.01.02,0:00,0.99335,1.00334,0.98879,0.99336,224226
2011.01.09,0:00,0.99298,0.99832,0.98478,0.99083,222654
2011.01.16,0:00,0.98787,1.00295,0.98361,0.99301,252331
2011.01.23,0:00,0.99358,1.00158,0.99106,1.00115,258362
2011.01.30,0:00,1.00065,1.0057,0.98311,0.98713,238122
2011.02.06,0:00,0.98731,0.99869,0.9857,0.98753,164154
2011.02.13,0:00,0.98732,0.9902,0.98154,0.98661,190515
2011.02.20,0:00,0.985,0.99578,0.97724,0.97761,234962
2011.02.27,0:00,0.97824,0.97881,0.96833,0.97327,222637
2011.03.06,0:00,0.97198,0.98005,0.96666,0.97302,216955
2011.03.13,0:00,0.97361,0.99729,0.9709,0.98442,301363
2011.03.20,0:00,0.98438,0.98452,0.97307,0.98025,231759
2011.03.27,0:00,0.98155,0.98217,0.96252,0.963,219096
2011.04.03,0:00,0.96413,0.96922,0.95257,0.95525,199185
2011.04.10,0:00,0.95512,0.96686,0.95421,0.95898,210181
2011.04.17,0:00,0.95883,0.97206,0.94534,0.95416,182757
2011.04.24,0:00,0.95252,0.95751,0.94452,0.94487,207001
2011.05.01,0:00,0.94502,0.97108,0.9444,0.96639,254531
2011.05.08,0:00,0.96657,0.97428,0.95128,0.96819,251678
2011.05.15,0:00,0.96937,0.97929,0.96408,0.9733,149025
2011.05.22,0:00,0.97395,0.98158,0.97357,0.97586,185982
2011.05.29,0:00,0.97754,0.9851,0.96548,0.97763,207878
2011.06.05,0:00,0.97733,0.98197,0.97125,0.97969,173382
2011.06.12,0:00,0.97861,0.98977,0.96694,0.981,250801
2011.06.19,0:00,0.98062,0.98857,0.97006,0.98845,262595
2011.06.26,0:00,0.98767,0.99123,0.95796,0.9583,227978
2011.07.03,0:00,0.95904,0.9694,0.95668,0.96182,203132
2011.07.10,0:00,0.96177,0.97771,0.95198,0.95314,270154
2011.07.17,0:00,0.9541,0.96352,0.9423,0.9478,206442
2011.07.24,0:00,0.94794,0.95897,0.94062,0.95512,203464
2011.07.31,0:00,0.95551,0.9852,0.94913,0.98184,280501
2011.08.07,0:00,0.98174,1.0009,0.97651,0.98694,414459
2011.08.14,0:00,0.98801,0.99375,0.97738,0.98995,297589
2011.08.21,0:00,0.99093,0.99229,0.97909,0.98116,274904
2011.08.28,0:00,0.98184,0.98568,0.97251,0.98512,260144
2011.09.04,0:00,0.98694,0.99787,0.98284,0.99654,310687
2011.09.11,0:00,0.99712,1.00249,0.9779,0.97791,349785
2011.09.18,0:00,0.98083,1.03597,0.98054,1.02762,389527
2011.09.25,0:00,1.02827,1.05019,1.01431,1.04999,409950
2011.10.02,0:00,1.04774,1.0656,1.02351,1.03915,404633
2011.10.09,0:00,1.03798,1.03864,1.00933,1.00966,343098
2011.10.16,0:00,1.00996,1.02631,1.00434,1.00628,377536
2011.10.23,0:00,1.00945,1.02111,0.98912,0.99135,400153
2011.10.30,0:00,0.99208,1.02267,0.99122,1.01855,397621
2011.11.06,0:00,1.01618,1.02652,1.0077,1.01117,344410
2011.11.13,0:00,1.01046,1.03004,1.0087,1.02722,374783
2011.11.20,0:00,1.02762,1.0523,1.02758,1.04655,345133
2011.11.27,0:00,1.04334,1.04338,1.00787,1.01908,321648
2011.12.04,0:00,1.01848,1.0261,1.00508,1.01654,332114
2011.12.11,0:00,1.01998,1.04222,1.01826,1.03818,336132
2011.12.18,0:00,1.03877,1.04147,1.01799,1.01983,276945
2011.12.25,0:00,1.02227,1.02672,1.01254,1.02018,204799
2012.01.01,0:00,1.0201,1.02848,1.00756,1.0283,273017
2012.01.08,0:00,1.0294,1.03178,1.01382,1.023,307945
2012.01.15,0:00,1.02405,1.02522,1.00694,1.01301,286267
2012.01.22,0:00,1.01513,1.01566,0.99807,1.00159,279330
2012.01.29,0:00,1.00141,1.00689,0.99262,0.99329,307565
2012.02.05,0:00,0.99348,1.00378,0.99249,1.0013,303022
2012.02.12,0:00,1.00011,1.00504,0.99375,0.99663,289186
2012.02.19,0:00,0.99308,1.00188,0.99053,0.9993,260836
2012.02.26,0:00,0.9994,1.00487,0.98408,0.98886,271624
2012.03.04,0:00,0.99005,1.00275,0.98716,0.99033,259726
2012.03.11,0:00,0.99043,0.99473,0.98794,0.99144,234313
2012.03.18,0:00,0.99116,1.00331,0.98594,0.99757,247216
2012.03.25,0:00,0.99818,1.0018,0.9899,0.99854,247975
2012.04.01,0:00,0.99568,0.99976,0.98871,0.99685,264439
2012.04.08,0:00,0.99721,1.0051,0.99253,0.99951,267451
2012.04.15,0:00,0.99916,1.00319,0.98648,0.99188,295552
2012.04.22,0:00,0.99247,0.9978,0.97988,0.98029,281073
2012.04.29,0:00,0.98066,0.99623,0.98029,0.99586,259956
2012.05.06,0:00,0.99501,1.00615,0.99224,1.00034,316754
2012.05.13,0:00,1.00156,1.02264,0.99894,1.02203,335607
2012.05.20,0:00,1.02135,1.03108,1.01509,1.0292,335716
2012.05.27,0:00,1.02677,1.04406,1.02063,1.04091,288453
2012.06.03,0:00,1.03909,1.04449,1.02098,1.02595,305872
2012.06.10,0:00,1.02226,1.03242,1.01995,1.0215,295349
2012.06.17,0:00,1.02014,1.02987,1.01585,1.02436,323617
2012.06.24,0:00,1.0254,1.03608,1.0164,1.0164,313886
2012.07.01,0:00,1.01612,1.02066,1.00999,1.01948,280604
2012.07.08,0:00,1.01993,1.02486,1.01287,1.01381,278733
2012.07.15,0:00,1.01355,1.01719,1.00648,1.01254,261255
2012.07.22,0:00,1.01353,1.02303,1.00299,1.00308,307067
2012.07.29,0:00,1.00429,1.00833,0.99789,1.0012,298604
2012.08.05,0:00,1.00119,1.00194,0.9905,0.99088,272819
2012.08.12,0:00,0.99101,0.99404,0.98587,0.98901,229768
2012.08.19,0:00,0.98851,0.99477,0.98415,0.99215,224837
2012.08.26,0:00,0.99166,0.99308,0.98417,0.98609,202524
2012.09.02,0:00,0.98662,0.99183,0.97645,0.97858,239730
2012.09.09,0:00,0.97756,0.97876,0.96319,0.97133,219951
2012.09.16,0:00,0.97018,0.98155,0.96923,0.97622,224192
2012.09.23,0:00,0.97641,0.98589,0.97557,0.98363,237904
2012.09.30,0:00,0.98399,0.98839,0.97343,0.97852,231663
2012.10.07,0:00,0.97809,0.98336,0.97431,0.98003,212098
2012.10.14,0:00,0.97867,0.99382,0.97633,0.9935,201693
2012.10.21,0:00,0.99423,0.99927,0.98879,0.99684,206289
2012.10.28,0:00,0.99934,1.00177,0.99207,0.99571,253636
2012.11.04,0:00,0.9957,1.00327,0.98736,1.00154,407134
2012.11.11,0:00,1.00038,1.00552,0.99843,1.00112,337386
2012.11.18,0:00,1.00109,1.00165,0.99143,0.99271,314131
2012.11.25,0:00,0.99243,0.99602,0.99046,0.99417,319578
2012.12.02,0:00,0.99378,0.99535,0.98754,0.98826,294769
2012.12.09,0:00,0.98711,0.98877,0.98239,0.98544,297705
2012.12.16,0:00,0.98561,0.99525,0.98312,0.99309,306441
2012.12.23,0:00,0.99326,0.997,0.99075,0.99678,194213
2012.12.30,0:00,0.99532,0.99698,0.9836,0.98708,249516
2013.01.06,0:00,0.98613,0.98844,0.98151,0.98472,340294
2013.01.13,0:00,0.98443,0.99461,0.98306,0.99147,382614
2013.01.20,0:00,0.99213,1.00996,0.99026,1.00565,361035
2013.01.27,0:00,1.00664,1.00997,0.99565,0.99633,358305
2013.02.03,0:00,0.99657,1.00348,0.99318,1.00197,339851
2013.02.10,0:00,1.003,1.00875,0.99988,1.00619,308179
2013.02.17,0:00,1.00752,1.02559,1.00568,1.02119,322219
2013.02.24,0:00,1.02199,1.03414,1.02163,1.02657,384029
2013.03.03,0:00,1.0273,1.03366,1.0234,1.02814,83188
2013.03.10,0:00,1.02869,1.02947,1.01805,1.01935,110091
2013.03.17,0:00,1.02256,1.02837,1.01994,1.0232,118172
2013.03.24,0:00,1.02323,1.02323,1.01445,1.0169,105268
2013.03.31,0:00,1.01671,1.02355,1.01037,1.01748,105263
2013.04.07,0:00,1.0167,1.02137,1.00828,1.01313,109941
2013.04.14,0:00,1.01409,1.02928,1.01329,1.02639,158087
2013.04.21,0:00,1.02559,1.02852,1.01572,1.01625,127013
2013.04.28,0:00,1.01662,1.01683,1.00507,1.00737,112561
2013.05.05,0:00,1.00767,1.01518,1.00133,1.00987,112612
2013.05.12,0:00,1.0112,1.0313,1.00815,1.02788,121900
2013.05.19,0:00,1.02749,1.0393,1.02165,1.03151,166184
2013.05.26,0:00,1.03148,1.04203,1.02945,1.03736,165804
2013.06.02,0:00,1.03625,1.03798,1.01666,1.0193,223349
2013.06.09,0:00,1.02185,1.02509,1.01369,1.01675,231072
2013.06.16,0:00,1.01722,1.04883,1.01489,1.04538,179739
2013.06.23,0:00,1.0478,1.05557,1.04237,1.05164,233714
2013.06.30,0:00,1.05217,1.06089,1.04721,1.05805,166189
2013.07.07,0:00,1.05801,1.05851,1.03258,1.03925,187231
2013.07.14,0:00,1.03896,1.04418,1.03553,1.03656,163347
2013.07.21,0:00,1.03659,1.03671,1.02552,1.02746,149900
2013.07.28,0:00,1.02822,1.04022,1.02458,1.0387,157918
2013.08.04,0:00,1.0388,1.04451,1.02751,1.02858,141013
2013.08.11,0:00,1.0294,1.03693,1.0279,1.03346,142672
2013.08.18,0:00,1.03305,1.0568,1.03156,1.04944,159961
2013.08.25,0:00,1.05127,1.05579,1.04719,1.05324,138300
2013.09.01,0:00,1.05284,1.05593,1.03817,1.04042,117143
2013.09.08,0:00,1.04029,1.04182,1.03056,1.03489,109914
2013.09.15,0:00,1.0315,1.03343,1.01822,1.03026,117173
2013.09.22,0:00,1.03059,1.034,1.02693,1.0304,100355
2013.09.29,0:00,1.0316,1.03562,1.0275,1.02917,111008
2013.10.06,0:00,1.02992,1.04192,1.02956,1.03467,108428
2013.10.13,0:00,1.0361,1.0391,1.0277,1.02852,103523
2013.10.20,0:00,1.02887,1.04603,1.02707,1.04444,101043
2013.10.27,0:00,1.04467,1.04963,1.04114,1.04161,100695
2013.11.03,0:00,1.04195,1.0503,1.03977,1.04767,96552
2013.11.10,0:00,1.04845,1.05256,1.04365,1.04366,99693
2013.11.17,0:00,1.04366,1.05683,1.04146,1.05115,109119
2013.11.24,0:00,1.0523,1.06281,1.052,1.06046,104472
2013.12.01,0:00,1.06185,1.07078,1.06136,1.06378,128330
2013.12.08,0:00,1.06458,1.06696,1.05607,1.05832,107846
2013.12.15,0:00,1.05908,1.07369,1.05721,1.06337,114593
2013.12.22,0:00,1.06412,1.07183,1.05812,1.0703,61407
2013.12.29,0:00,1.07068,1.07271,1.05884,1.06297,83226
2014.01.05,0:00,1.06327,1.09457,1.06084,1.08856,128517
2014.01.12,0:00,1.09055,1.09909,1.08422,1.09594,119513
2014.01.19,0:00,1.09661,1.11731,1.09292,1.10862,136019
2014.01.26,0:00,1.10662,1.1224,1.10313,1.11271,130202
2014.02.02,0:00,1.11222,1.11331,1.09674,1.10321,152867
2014.02.09,0:00,1.10396,1.10903,1.09401,1.09775,139447
2014.02.16,0:00,1.09732,1.1195,1.09101,1.11095,139047
2014.02.23,0:00,1.11042,1.11596,1.10403,1.10606,126982
2014.03.02,0:00,1.10795,1.11176,1.0955,1.10868,131840
2014.03.09,0:00,1.1092,1.11534,1.10432,1.11043,190575
2014.03.16,0:00,1.10971,1.12782,1.1025,1.12199,221557
2014.03.23,0:00,1.12261,1.12459,1.10007,1.106,214236
2014.03.30,0:00,1.10561,1.10697,1.09565,1.09799,195861
2014.04.06,0:00,1.09808,1.10094,1.08579,1.09801,168968
2014.04.13,0:00,1.09743,1.10333,1.09421,1.10199,118414
2014.04.20,0:00,1.1023,1.10529,1.10003,1.1039,101350
2014.04.27,0:00,1.10341,1.10392,1.09354,1.09713,133686
2014.05.04,0:00,1.09762,1.09887,1.0814,1.08947,137374
2014.05.11,0:00,1.0899,1.09261,1.08515,1.08602,119623
2014.05.18,0:00,1.08621,1.09414,1.08494,1.08603,134907
2014.05.25,0:00,1.08707,1.08858,1.08219,1.08438,90592
2014.06.01,0:00,1.08424,1.09599,1.08417,1.09316,128885
2014.06.08,0:00,1.09281,1.09405,1.08412,1.08551,118686
2014.06.15,0:00,1.08544,1.08933,1.07514,1.07576,126040
2014.06.22,0:00,1.07543,1.07572,1.06595,1.06618,111643
2014.06.29,0:00,1.06624,1.06962,1.06199,1.0653,113222
2014.07.06,0:00,1.06526,1.07369,1.06303,1.07338,168531
2014.07.13,0:00,1.07317,1.07943,1.0708,1.07318,176361
2014.07.20,0:00,1.07343,1.08211,1.07097,1.08025,173146
2014.07.27,0:00,1.08144,1.09435,1.07942,1.09034,225221
2014.08.03,0:00,1.09181,1.09856,1.09031,1.0971,158593
2014.08.10,0:00,1.09711,1.09771,1.08598,1.08966,130476
2014.08.17,0:00,1.08883,1.09858,1.0875,1.09412,133849
2014.08.24,0:00,1.09667,1.09972,1.08103,1.08785,155594
2014.08.31,0:00,1.08725,1.09423,1.08209,1.0881,172036
2014.09.07,0:00,1.08834,1.10979,1.08824,1.10908,279879
2014.09.14,0:00,1.1087,1.10988,1.0887,1.09621,245929
2014.09.21,0:00,1.09612,1.1169,1.09257,1.11541,256843
2014.09.28,0:00,1.11553,1.12703,1.10716,1.12444,239574
2014.10.05,0:00,1.12542,1.12652,1.10818,1.11986,272388
2014.10.12,0:00,1.12027,1.13853,1.1182,1.1274,313356
2014.10.19,0:00,1.12828,1.12959,1.11837,1.12299,237242
2014.10.26,0:00,1.12399,1.1332,1.11215,1.12642,261620
2014.11.02,0:00,1.1278,1.14661,1.12629,1.13275,369081
2014.11.09,0:00,1.13254,1.14013,1.12639,1.1285,296056
2014.11.16,0:00,1.12924,1.13687,1.11904,1.12314,253271
2014.11.23,0:00,1.12333,1.14435,1.12244,1.1415,210251
2014.11.30,0:00,1.14284,1.14756,1.13127,1.14335,225395
2014.12.07,0:00,1.1434,1.15911,1.13971,1.15767,217975
2014.12.14,0:00,1.15838,1.16732,1.15481,1.16009,216474
2014.12.21,0:00,1.15984,1.16665,1.15777,1.16197,509148
2014.12.28,0:00,1.1614,1.17848,1.15644,1.17826,150347
2015.01.04,0:00,1.17802,1.18891,1.17307,1.18638,359803
2015.01.11,0:00,1.18619,1.20457,1.18027,1.19824,418835
2015.01.18,0:00,1.19787,1.24556,1.19333,1.24168,229889
2015.01.25,0:00,1.24406,1.27974,1.23791,1.27263,210715
2015.02.01,0:00,1.26991,1.27727,1.23518,1.25182,365732
2015.02.08,0:00,1.25378,1.2697,1.24218,1.24426,315025
2015.02.15,0:00,1.24429,1.25644,1.23626,1.253,333651
2015.02.22,0:00,1.25309,1.26634,1.23877,1.25093,338320
2015.03.01,0:00,1.24987,1.26268,1.2407,1.26219,341047
2015.03.08,0:00,1.26175,1.28232,1.25729,1.27796,348679
2015.03.15,0:00,1.27893,1.28345,1.24485,1.2547,320977
2015.03.22,0:00,1.25415,1.26201,1.24101,1.26064,315219
2015.03.29,0:00,1.26064,1.27835,1.24289,1.24832,259170
2015.04.05,0:00,1.24832,1.26668,1.23868,1.25606,248043
2015.04.12,0:00,1.25606,1.26458,1.20873,1.22407,350597
2015.04.19,0:00,1.22407,1.23052,1.21026,1.21776,301532
2015.04.26,0:00,1.21837,1.22046,1.19443,1.21665,368559
2015.05.03,0:00,1.21533,1.21806,1.19423,1.20786,129621
2015.05.10,0:00,1.20842,1.21434,1.19197,1.20152,440951
2015.05.17,0:00,1.20101,1.23215,1.20086,1.2281,521487
2015.05.24,0:00,1.2285,1.25376,1.22747,1.24402,540310
2015.05.31,0:00,1.24378,1.25625,1.23666,1.2428,603067
2015.06.07,0:00,1.24384,1.24724,1.22017,1.23047,786299
2015.06.14,0:00,1.23129,1.23598,1.21275,1.22692,703672
2015.06.21,0:00,1.22589,1.24225,1.22178,1.23133,716447
2015.06.28,0:00,1.23346,1.26329,1.23037,1.25699,684834
2015.07.05,0:00,1.25972,1.27794,1.25625,1.26713,586275
2015.07.12,0:00,1.26997,1.30066,1.2679,1.29721,565067
2015.07.19,0:00,1.29756,1.31024,1.29163,1.30425,711212
2015.07.26,0:00,1.30368,1.30961,1.28609,1.30855,719067
2015.08.02,0:00,1.30868,1.32131,1.30479,1.3134,766014
2015.08.09,0:00,1.31164,1.31819,1.29517,1.30948,563993
2015.08.16,0:00,1.30879,1.31932,1.30239,1.31854,723490
2015.08.23,0:00,1.31789,1.3353,1.31416,1.31986,804388
2015.08.30,0:00,1.32084,1.33266,1.31165,1.32772,716887
2015.09.06,0:00,1.32506,1.33094,1.31541,1.32616,566489
2015.09.13,0:00,1.32467,1.32796,1.30118,1.32217,538432
2015.09.20,0:00,1.3218,1.3416,1.31756,1.333,568453
2015.09.27,0:00,1.33313,1.34568,1.31512,1.31524,558387
2015.10.04,0:00,1.31478,1.3175,1.29007,1.29431,711701
2015.10.11,0:00,1.29543,1.308,1.28314,1.2916,593550
2015.10.18,0:00,1.29041,1.31976,1.28978,1.3166,588222
2015.10.25,0:00,1.31661,1.32794,1.30552,1.30741,660468
2015.11.01,0:00,1.30697,1.33173,1.30377,1.33034,684497
2015.11.08,0:00,1.32935,1.33488,1.32239,1.33243,653734
2015.11.15,0:00,1.32985,1.33703,1.32463,1.33477,680445
2015.11.22,0:00,1.33263,1.34355,1.32796,1.33669,652941
2015.11.29,0:00,1.33668,1.34157,1.32929,1.33601,767595
2015.12.06,0:00,1.33685,1.37576,1.33645,1.37544,714884
2015.12.13,0:00,1.37146,1.4001,1.36728,1.39524,745229
2015.12.20,0:00,1.39328,1.39933,1.38176,1.38449,395137
2015.12.27,0:00,1.38255,1.39396,1.38129,1.38274,346520
2016.01.03,0:00,1.38132,1.41766,1.38132,1.41711,746815
2016.01.10,0:00,1.4164,1.45532,1.40646,1.45357,767904
2016.01.17,0:00,1.45901,1.46895,1.41142,1.41211,926817
2016.01.24,0:00,1.41409,1.43252,1.39476,1.39703,979785
2016.01.31,0:00,1.39681,1.41025,1.36388,1.39139,909896
2016.02.07,0:00,1.38975,1.40159,1.37861,1.38443,978311
2016.02.14,0:00,1.38474,1.39111,1.36531,1.37603,822653
2016.02.21,0:00,1.37745,1.38588,1.35047,1.35112,838608
2016.02.28,0:00,1.35104,1.35869,1.3311,1.3312,774475
2016.03.06,0:00,1.33315,1.34459,1.3167,1.3213,676237
2016.03.13,0:00,1.32275,1.34051,1.29228,1.30029,668296
2016.03.20,0:00,1.30249,1.32957,1.30188,1.32601,566666
2016.03.27,0:00,1.32679,1.32845,1.28571,1.30118,735850
2016.04.03,0:00,1.30222,1.32184,1.29516,1.297,781322
2016.04.10,0:00,1.298,1.30155,1.27442,1.28148,771231
2016.04.17,0:00,1.29459,1.29894,1.25926,1.26715,769581
2016.04.24,0:00,1.26518,1.2717,1.2498,1.25495,743548
2016.05.01,0:00,1.25526,1.29515,1.24606,1.28986,803711
2016.05.08,0:00,1.29436,1.3015,1.27711,1.29354,678297
2016.05.15,0:00,1.29384,1.31618,1.28367,1.31087,659465
2016.05.22,0:00,1.31138,1.31877,1.29104,1.30258,575499
2016.05.29,0:00,1.3025,1.31435,1.2915,1.29358,626503
2016.06.05,0:00,1.29342,1.29819,1.26544,1.27756,650207
2016.06.12,0:00,1.27869,1.30853,1.27497,1.28846,706045
2016.06.19,0:00,1.28901,1.30988,1.26778,1.30007,652556
2016.06.26,0:00,1.3031,1.31194,1.28648,1.29095,719339
2016.07.03,0:00,1.29069,1.30898,1.28312,1.30429,688119
2016.07.10,0:00,1.30413,1.31392,1.28608,1.29725,696247
2016.07.17,0:00,1.29358,1.3185,1.29265,1.31281,574189
2016.07.24,0:00,1.3127,1.32534,1.30013,1.30373,559146
2016.07.31,0:00,1.30238,1.32,1.29956,1.31709,527407
2016.08.07,0:00,1.31749,1.31896,1.29237,1.29552,549736
2016.08.14,0:00,1.2944,1.29749,1.27633,1.28642,574367
2016.08.21,0:00,1.288,1.30113,1.28307,1.29987,553045
2016.08.28,0:00,1.29912,1.31477,1.29788,1.29788,613634
2016.09.04,0:00,1.29842,1.30525,1.2822,1.30377,587391
2016.09.11,0:00,1.30466,1.32476,1.30289,1.32109,723610
2016.09.18,0:00,1.32162,1.32425,1.29998,1.31626,714474
2016.09.25,0:00,1.3155,1.32804,1.30478,1.31237,761212
2016.10.02,0:00,1.31053,1.33128,1.30675,1.32945,708580
2016.10.09,0:00,1.32391,1.33064,1.3103,1.31298,684220
2016.10.16,0:00,1.31138,1.33545,1.30053,1.3322,599231
2016.10.23,0:00,1.33252,1.3433,1.32774,1.33864,654525
2016.10.30,0:00,1.34093,1.3465,1.33528,1.33955,683133
2016.11.06,0:00,1.33402,1.35477,1.32632,1.35395,901005
2016.11.13,0:00,1.35006,1.35883,1.33995,1.34932,850650
2016.11.20,0:00,1.34948,1.35349,1.33775,1.35067,697483
2016.11.27,0:00,1.34938,1.35367,1.32543,1.328,725598
2016.12.04,0:00,1.32837,1.33553,1.3152,1.31705,572596
2016.12.11,0:00,1.31456,1.3417,1.30798,1.33296,763977
2016.12.18,0:00,1.33325,1.35565,1.33169,1.35241,595501
2016.12.25,0:00,1.352,1.3598,1.31757,1.34375,524567
2017.01.01,0:00,1.34205,1.34602,1.31769,1.32346,731302
2017.01.08,0:00,1.32394,1.32939,1.3029,1.3111,796307
2017.01.15,0:00,1.31301,1.33871,1.30181,1.33122,802783
2017.01.22,0:00,1.33139,1.33345,1.30529,1.31496,752559
2017.01.29,0:00,1.31296,1.31687,1.29682,1.30208,789334
2017.02.05,0:00,1.30236,1.32116,1.30066,1.3073,636583
2017.02.12,0:00,1.30808,1.31259,1.30087,1.30824,570478
2017.02.19,0:00,1.30914,1.32093,1.30556,1.30876,464687
2017.02.26,0:00,1.30957,1.34366,1.3083,1.3368,545400
2017.03.05,0:00,1.33681,1.35345,1.33681,1.34689,563354
2017.03.12,0:00,1.34554,1.3495,1.32758,1.33412,531867
2017.03.19,0:00,1.33446,1.34089,1.32632,1.33765,513235
2017.03.26,0:00,1.33537,1.3414,1.32771,1.33152,473798
2017.04.02,0:00,1.33,1.34554,1.32945,1.33939,447677
2017.04.09,0:00,1.33948,1.34259,1.32229,1.33171,411714
2017.04.16,0:00,1.33099,1.3525,1.32617,1.34831,422592
2017.04.23,0:00,1.34565,1.36967,1.34104,1.36387,503787
2017.04.30,0:00,1.36537,1.37933,1.36365,1.36644,470871
2017.05.07,0:00,1.36523,1.37699,1.36431,1.37036,504410
2017.05.14,0:00,1.3695,1.37221,1.35049,1.35049,538415
2017.05.21,0:00,1.35134,1.35402,1.3387,1.34345,454128
2017.05.28,0:00,1.34361,1.35468,1.34271,1.34743,369992
2017.06.04,0:00,1.34824,1.35358,1.34221,1.34621,380383
2017.06.11,0:00,1.3454,1.34701,1.31644,1.32049,421911
2017.06.18,0:00,1.32106,1.3347,1.31908,1.32615,353909
2017.06.25,0:00,1.32585,1.32701,1.29455,1.29623,411908
